Time	RAW:MW2	RAW:PROMIDA	RAW:PROMIDB	RAW:IAC	RAW:CT	RAW:MPH	RAW:MAP	RAW:RPM	RAW:TPS	RAW:INT	RAW:O2	RAW:MALFFLG1	RAW:MALFFLG2	RAW:MALFFLG3	RAW:MWAF1	RAW:VOLT	RAW:MCU2IO	RAW:KNOCK_CNT	RAW:BLM	RAW:O2_CNT	SENSOR:PROMID	SENSOR:IAC	SENSOR:Coolant Temp	SENSOR:SPEED	SENSOR:MAP	SENSOR:RPM	SENSOR:TPS	SENSOR:INT	SENSOR:O2	SENSOR:Battery Voltage	SENSOR:Knock counter	SENSOR:BLM	SENSOR:rich / lean counter	MW2:Vss Pulse Occured	MW2:ESC 43B Ready for second Pwr Enrich	MW2:DRP Occured	MW2:Factory Test Mode (3.9k Ohms	MW2:Diagnostic Mode (0 Ohms)	MW2:ALDL Mode (10k Ohms)	MW2:1st time Idle Flag / High Bat Voltage	MW2:Idle / Cool Flag	MWAF1:Clear Flood Flag / Not Closed Loop	MWAF1:BLM Enable Flag	MWAF1:Low Battery (IAC Inhibited)	MWAF1:4-3 Downshift for TCC unlock	MWAF1:Asynchronous Fuel Flag	MWAF1:Old High Gear Flag	MWAF1:Rich Flag	MWAF1:Closed Loop Flag	MCU2IO:AIR Divert Solenoid ON	MCU2IO:AIR Divert Solenoid ON	MCU2IO:A/C Disabled	MCU2IO:TCC Locked	MCU2IO:Park/Neutral	MCU2IO:No High Gear	MCU2IO:Not Used	MCU2IO:No A/C Requested	MALFFLG1:24  VSS (Vehicle Speed Sensor)	MALFFLG1:23  IAT / MAT low (Air Temperature)	MALFFLG1:22  TPS low (Throttle Position Sensor)	MALFFLG1:21  TPS high (Throttle Position Sensor)	MALFFLG1:15  CT low (Coolant Temperature)	MALFFLG1:14  CT high (Coolant Temperature)	MALFFLG1:13  Oxygen sensor	MALFFLG1:12  Engine not running	MALFFLG2:42  EST (Electronic Spark Timing)	MALFFLG2:41  Not Used	MALFFLG2:35  Not Used	MALFFLG2:34  MAP low (Manifold Air Pressure)	MALFFLG2:33  MAP high (Manifold Air Pressure)	MALFFLG2:32  EGR (Exhaust Gas Recirculation)	MALFFLG2:31  Governor Fail	MALFFLG2:25  IAT / MAT high (Air Temperature)	MALFFLG3:52  CAL Pack missing	MALFFLG3:53  Not Used	MALFFLG3:54  Fuel Pump Relay Faliure	MALFFLG3:55  ADU error	MALFFLG3:51  PROM error	MALFFLG3:45  O2 rich (Oxygen sensor)	MALFFLG3:44  O2 lean (Oxygen sensor)	MALFFLG3:43  Knock ESC
16.4	128	24	147	135	190	0	66	50	28	128	230	0	0	0	64	138	128	112	125	15	6291	135	74.1	0	34.7	1250	0.2	128	1.017	13.8	112	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.6	132	24	147	129	190	0	65	51	28	128	229	0	0	0	64	137	128	189	125	15	6291	129	74.1	0	34.3	1275	0.2	128	1.012	13.7	189	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.8	132	24	147	125	190	0	64	51	28	128	228	0	0	0	64	138	128	8	125	15	6291	125	74.1	0	34.0	1275	0.2	128	1.008	13.8	8	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.0	132	24	147	123	190	0	101	56	62	128	227	0	0	0	64	138	128	85	125	15	6291	123	74.1	0	47.6	1400	16.6	128	1.003	13.8	85	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.2	132	24	147	145	190	0	70	53	40	128	228	0	0	0	64	137	128	160	125	15	6291	145	74.1	0	36.2	1325	6.0	128	1.008	13.7	160	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.4	132	24	147	140	190	0	65	53	28	128	227	0	0	0	64	138	128	237	125	15	6291	140	74.1	0	34.3	1325	0.2	128	1.003	13.8	237	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.6	128	24	147	126	190	0	62	53	28	128	227	0	0	0	64	137	128	56	125	15	6291	126	74.1	0	33.2	1325	0.2	128	1.003	13.7	56	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.8	132	24	147	122	190	0	65	49	28	128	225	0	0	0	64	138	128	133	125	15	6291	122	74.1	0	34.3	1225	0.2	128	0.995	13.8	133	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.9	128	24	147	120	190	0	68	49	28	128	224	0	0	0	64	137	128	209	125	15	6291	120	74.1	0	35.4	1225	0.2	128	0.990	13.7	209	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.1	132	24	147	118	190	0	62	51	28	128	224	0	0	0	64	138	128	29	125	15	6291	118	74.1	0	33.2	1275	0.2	128	0.990	13.8	29	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.3	128	24	147	115	190	0	64	48	28	128	223	0	0	0	64	138	128	105	125	15	6291	115	74.1	0	34.0	1200	0.2	128	0.986	13.8	105	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.5	132	24	147	114	190	0	65	50	28	128	222	0	0	0	64	137	128	181	125	15	6291	114	74.1	0	34.3	1250	0.2	128	0.981	13.7	181	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.7	128	24	147	110	189	0	61	51	28	128	223	0	0	0	64	138	128	1	125	15	6291	110	74.8	0	32.9	1275	0.2	128	0.986	13.8	1	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.9	132	24	147	107	189	0	63	47	28	128	222	0	0	0	64	137	128	77	125	15	6291	107	74.8	0	33.6	1175	0.2	128	0.981	13.7	77	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.1	132	24	147	106	189	0	62	50	28	128	222	0	0	0	64	138	128	153	125	15	6291	106	74.8	0	33.2	1250	0.2	128	0.981	13.8	153	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.3	132	24	147	103	189	0	62	48	28	128	222	0	0	0	64	137	128	229	125	15	6291	103	74.8	0	33.2	1200	0.2	128	0.981	13.7	229	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.5	128	24	147	103	189	0	62	48	28	128	222	0	0	0	64	137	128	49	125	15	6291	103	74.8	0	33.2	1200	0.2	128	0.981	13.7	49	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.7	132	24	147	101	189	0	58	49	28	128	222	0	0	0	64	138	128	125	125	15	6291	101	74.8	0	31.8	1225	0.2	128	0.981	13.8	125	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.9	132	24	147	100	189	0	59	49	28	128	222	0	0	0	64	138	128	201	125	15	6291	100	74.8	0	32.1	1225	0.2	128	0.981	13.8	201	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.0	132	24	147	97	188	0	57	47	28	128	222	0	0	0	64	138	128	21	125	15	6291	97	75.4	0	31.4	1175	0.2	128	0.981	13.8	21	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40.2	132	24	147	97	188	0	60	46	28	128	222	0	0	0	64	139	128	97	125	15	6291	97	75.4	0	32.5	1150	0.2	128	0.981	13.9	97	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41.4	132	24	147	97	188	0	59	46	28	128	222	0	0	0	64	138	128	174	125	15	6291	97	75.4	0	32.1	1150	0.2	128	0.981	13.8	174	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.6	128	24	147	97	188	0	60	46	28	128	222	0	0	0	64	138	128	249	125	15	6291	97	75.4	0	32.5	1150	0.2	128	0.981	13.8	249	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43.8	132	24	147	97	188	0	59	47	28	128	222	0	0	0	64	138	128	70	125	15	6291	97	75.4	0	32.1	1175	0.2	128	0.981	13.8	70	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45.0	128	24	147	96	187	0	60	46	28	128	222	0	0	0	64	139	128	145	125	15	6291	96	76.0	0	32.5	1150	0.2	128	0.981	13.9	145	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46.2	132	24	147	96	187	0	59	47	28	128	222	0	0	0	64	139	128	222	125	15	6291	96	76.0	0	32.1	1175	0.2	128	0.981	13.9	222	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47.4	132	24	147	96	187	0	59	47	28	128	222	0	0	0	64	139	128	41	125	15	6291	96	76.0	0	32.1	1175	0.2	128	0.981	13.9	41	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48.6	132	24	147	96	187	0	58	47	28	128	222	0	0	0	64	139	128	118	125	15	6291	96	76.0	0	31.8	1175	0.2	128	0.981	13.9	118	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49.8	132	24	147	95	186	0	58	46	28	128	222	0	0	0	64	138	128	193	125	15	6291	95	76.6	0	31.8	1150	0.2	128	0.981	13.8	193	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51.0	132	24	147	95	186	0	58	47	28	128	222	0	0	0	64	138	128	14	125	15	6291	95	76.6	0	31.8	1175	0.2	128	0.981	13.8	14	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52.2	128	24	147	95	186	0	59	46	28	128	222	0	0	0	64	139	128	90	125	15	6291	95	76.6	0	32.1	1150	0.2	128	0.981	13.9	90	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53.3	132	24	147	95	185	0	58	47	28	128	223	0	0	0	64	138	128	166	125	15	6291	95	77.2	0	31.8	1175	0.2	128	0.986	13.8	166	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54.5	132	24	147	95	185	0	57	47	28	128	223	0	0	0	64	139	128	242	125	15	6291	95	77.2	0	31.4	1175	0.2	128	0.986	13.9	242	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55.7	132	24	147	95	185	0	58	46	28	128	223	0	0	0	64	138	128	62	125	15	6291	95	77.2	0	31.8	1150	0.2	128	0.986	13.8	62	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56.9	128	24	147	95	185	0	58	46	28	128	223	0	0	0	64	138	128	138	125	15	6291	95	77.2	0	31.8	1150	0.2	128	0.986	13.8	138	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58.1	132	24	147	94	184	0	57	47	28	128	223	0	0	0	64	139	128	214	125	15	6291	94	77.9	0	31.4	1175	0.2	128	0.986	13.9	214	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59.3	128	24	147	94	184	0	58	46	28	128	223	0	0	0	64	139	128	34	125	15	6291	94	77.9	0	31.8	1150	0.2	128	0.986	13.9	34	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60.5	132	24	147	94	184	0	58	48	28	128	223	0	0	0	64	139	128	110	125	15	6291	94	77.9	0	31.8	1200	0.2	128	0.986	13.9	110	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61.7	132	24	147	93	183	0	57	47	28	128	224	0	0	0	64	138	128	186	125	15	6291	93	78.5	0	31.4	1175	0.2	128	0.990	13.8	186	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62.9	132	24	147	93	183	0	58	47	28	128	224	0	0	0	64	139	128	6	125	15	6291	93	78.5	0	31.8	1175	0.2	128	0.990	13.9	6	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.1	132	24	147	93	183	0	57	46	28	128	224	0	0	0	64	139	128	82	125	15	6291	93	78.5	0	31.4	1150	0.2	128	0.990	13.9	82	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65.3	132	24	147	93	183	0	57	46	28	128	224	0	0	0	64	139	128	158	125	15	6291	93	78.5	0	31.4	1150	0.2	128	0.990	13.9	158	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.5	132	24	147	93	182	0	56	47	28	128	225	0	0	0	64	139	128	234	125	15	6291	93	79.1	0	31.0	1175	0.2	128	0.995	13.9	234	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.7	132	24	147	93	182	0	57	45	28	128	225	0	0	0	64	139	128	54	125	15	6291	93	79.1	0	31.4	1125	0.2	128	0.995	13.9	54	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68.8	132	24	147	93	182	0	57	46	28	128	225	0	0	0	64	138	128	130	125	15	6291	93	79.1	0	31.4	1150	0.2	128	0.995	13.8	130	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.0	132	24	147	92	181	0	56	46	28	128	225	0	0	0	64	139	128	207	125	15	6291	92	79.8	0	31.0	1150	0.2	128	0.995	13.9	207	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71.2	128	24	147	92	181	0	56	46	28	128	225	0	0	0	64	139	128	26	125	15	6291	92	79.8	0	31.0	1150	0.2	128	0.995	13.9	26	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72.4	132	24	147	92	181	0	56	45	28	128	225	0	0	0	64	138	128	103	125	15	6291	92	79.8	0	31.0	1125	0.2	128	0.995	13.8	103	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73.6	128	24	147	92	180	0	56	46	28	128	225	0	0	0	64	139	128	178	125	15	6291	92	80.4	0	31.0	1150	0.2	128	0.995	13.9	178	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74.8	4	24	147	109	180	0	64	56	28	128	228	0	0	0	64	138	128	255	125	15	6291	109	80.4	0	34.0	1400	0.2	128	1.008	13.8	255	125	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76.0	4	24	147	118	180	0	72	67	41	128	229	0	0	0	64	138	128	74	125	15	6291	118	80.4	0	36.9	1675	6.5	128	1.012	13.8	74	125	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77.2	132	24	147	110	179	0	63	58	39	128	228	0	0	0	64	137	128	151	125	15	6291	110	81.1	0	33.6	1450	5.5	128	1.008	13.7	151	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78.4	132	24	147	145	179	0	57	61	28	128	227	0	0	0	64	138	128	226	125	15	6291	145	81.1	0	31.4	1525	0.2	128	1.003	13.8	226	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79.6	4	24	147	145	179	0	49	89	28	128	189	0	0	0	64	139	128	47	125	15	6291	145	81.1	0	28.4	2225	0.2	128	0.835	13.9	47	125	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
